ImageName,Size,Type,Time,RunOrder,
1,4665600,sequential,410,onStart,
2,4058100,sequential,296,onStart,
3,3078480,sequential,255,onStart,
4,2796820,sequential,230,onStart,
5,2335788,sequential,210,onStart,
6,1908536,sequential,156,onStart,
7,1420080,sequential,144,onStart,
8,931000,sequential,100,onStart,
9,469464,sequential,50,onStart,
10,308396,sequential,42,onStart,
11,182032,sequential,36,onStart,
12,66044,sequential,15,onStart,
13,7300,sequential,4,onStart,
1,4665600,parallel,393,onStart,
2,4058100,parallel,287,onStart,
3,3078480,parallel,241,onStart,
4,2796820,parallel,221,onStart,
5,2335788,parallel,191,onStart,
6,1908536,parallel,174,onStart,
7,1420080,parallel,126,onStart,
8,931000,parallel,97,onStart,
9,469464,parallel,74,onStart,
10,308396,parallel,70,onStart,
11,182032,parallel,51,onStart,
12,66044,parallel,31,onStart,
13,7300,parallel,11,onStart,
1,4665600,distributed,674,onStart,
2,4058100,distributed,614,onStart,
3,3078480,distributed,498,onStart,
4,2796820,distributed,454,onStart,
5,2335788,distributed,393,onStart,
6,1908536,distributed,331,onStart,
7,1420080,distributed,294,onStart,
8,931000,distributed,192,onStart,
9,469464,distributed,124,onStart,
10,308396,distributed,112,onStart,
11,182032,distributed,74,onStart,
12,66044,distributed,26,onStart,
13,7300,distributed,11,onStart,
1,4665600,sequential,288,afterStart,
2,4058100,sequential,226,afterStart,
3,3078480,sequential,168,afterStart,
4,2796820,sequential,154,afterStart,
5,2335788,sequential,126,afterStart,
6,1908536,sequential,102,afterStart,
7,1420080,sequential,69,afterStart,
8,931000,sequential,51,afterStart,
9,469464,sequential,22,afterStart,
10,308396,sequential,15,afterStart,
11,182032,sequential,9,afterStart,
12,66044,sequential,3,afterStart,
13,7300,sequential,1,afterStart,
1,4665600,parallel,186,afterStart,
2,4058100,parallel,141,afterStart,
3,3078480,parallel,118,afterStart,
4,2796820,parallel,109,afterStart,
5,2335788,parallel,84,afterStart,
6,1908536,parallel,73,afterStart,
7,1420080,parallel,51,afterStart,
8,931000,parallel,34,afterStart,
9,469464,parallel,15,afterStart,
10,308396,parallel,10,afterStart,
11,182032,parallel,7,afterStart,
12,66044,parallel,3,afterStart,
13,7300,parallel,2,afterStart,
,,,,,
,,,,,
,,,,,
